START
P	rbrbrj
1479771,LINACC,0.45,-1.47,1.10
1479780,STAB,1479782,ACCEL,-3.14,-4.10,-7.66
1479788,GYRO,0.21,-0.63,0.31
1479790,ROT,0.25,-0.12,0.95,-0.12
1479793,GAMEROT,0.23,0.03,0.96,-0.16
1479800,MAGCAL,-36.56,-19.69,87.44
1479810,ACCEL,-3.52,-3.26,-8.04
1479819,GRAV,-4.59,-2.86,-8.22
1479821,LINACC,1.06,-0.40,0.18
1479828,GYRO,0.10,-0.63,0.15
1479830,ROT,0.26,-0.12,0.95,-0.12
1479833,GAMEROT,0.24,0.03,0.96,-0.16
1479839,MAGCAL,-36.56,-19.69,87.44
1479841,STAB,1479843,ACCEL,-3.52,-3.71,-7.85
1479868,GYRO,-0.42,-0.28,0.44
1479870,ROT,0.27,-0.12,0.95,-0.11
1479873,GAMEROT,0.25,0.04,0.95,-0.16
1479879,ACCEL,-5.25,-3.37,-7.93
1479881,GRAV,-4.87,-2.69,-8.11
1479883,LINACC,-0.38,-0.68,0.18
1479887,MAGCAL,-36.38,-20.31,85.50
1479900,STAB,1479905,ACCEL,-6.17,-2.22,-8.28
1479909,GYRO,-0.43,0.31,0.23
1479911,ROT,0.27,-0.11,0.95,-0.10
1479914,GAMEROT,0.25,0.04,0.96,-0.14
1479920,MAGCAL,-36.56,-21.75,86.50
1479929,GRAV,-4.82,-2.45,-8.21
1479931,LINACC,-1.35,0.22,-0.06
1479934,ACCEL,-4.33,-1.38,-7.93
1479940,STAB,1479948,GYRO,-0.05,-0.28,-0.00
1479950,ROT,0.27,-0.11,0.95,-0.10
1479953,GAMEROT,0.25,0.04,0.96,-0.14
1479960,MAGCAL,-35.88,-21.69,85.56
1479964,ACCEL,-4.71,-1.80,-7.43
1479979,GRAV,-4.88,-2.40,-8.18
1479981,LINACC,0.17,0.60,0.75
1479988,GYRO,-0.21,0.13,0.16
1479990,ROT,0.27,-0.11,0.95,-0.10
1479993,GAMEROT,0.25,0.04,0.96,-0.14
1479999,ACCEL,-5.55,-2.30,-7.93
1480001,STAB,1480004,MAGCAL,-34.50,-20.87,84.31
1480027,ACCEL,-5.29,-1.76,-8.46
1480030,GYRO,-0.29,0.85,-0.15
1480032,ROT,0.26,-0.11,0.95,-0.09
1480035,GAMEROT,0.24,0.04,0.96,-0.13
1480040,GRAV,-4.64,-2.26,-8.35
1480042,LINACC,-0.64,0.50,-0.11
1480045,MAGCAL,-32.25,-19.69,83.50
1480051,STAB,1480060,ACCEL,-3.68,-1.49,-8.66
1480068,GYRO,-0.16,1.85,-0.15
1480070,ROT,0.24,-0.11,0.96,-0.09
1480073,GAMEROT,0.22,0.04,0.97,-0.13
1480079,MAGCAL,-25.19,-14.25,81.44
1480090,GRAV,-3.70,-2.12,-8.84
1480092,LINACC,0.02,0.63,0.18
1480094,ACCEL,-7.74,-1.00,-12.18
1480100,STAB,1480108,GYRO,1.58,10.44,1.66
1480110,ROT,0.12,-0.08,0.98,-0.10
1480113,GAMEROT,0.10,0.08,0.98,-0.12
1480120,MAGCAL,-7.37,0.13,65.19
1480128,ACCEL,-2.91,-1.49,-9.30
1480140,GRAV,0.52,-2.21,-9.55
1480142,LINACC,-3.43,0.72,0.25
1480148,GYRO,-1.54,4.99,-0.24
1480150,ROT,0.05,0.06,-0.99,0.11
1480153,GAMEROT,0.07,-0.10,-0.99,0.10
1480158,ACCEL,7.05,-4.90,0.27
1480161,STAB,1480164,MAGCAL,-2.94,7.31,53.88
1480182,ACCEL,1.46,-1.23,-6.71
1480188,GYRO,-1.31,-0.39,0.67
1480190,ROT,0.08,0.05,-0.99,0.08
1480193,GAMEROT,0.09,-0.10,-0.99,0.07
1480198,GRAV,1.53,-1.37,-9.60
1480200,LINACC,-0.07,0.15,2.90
1480203,MAGCAL,0.69,7.62,50.88
1480210,STAB,1480214,ACCEL,-0.96,-0.65,-13.83
1480228,GYRO,0.39,1.02,1.06
1480230,ROT,0.08,0.03,-0.99,0.07
1480233,GAMEROT,0.09,-0.13,-0.99,0.06
1480239,MAGCAL,3.12,10.25,48.56
1480250,ACCEL,-0.92,-2.68,-13.25
1480254,GRAV,1.77,-1.53,-9.52
1480256,LINACC,-2.69,-1.15,-3.73
1480261,STAB,1480268,GYRO,0.58,0.93,0.62
1480270,ROT,0.10,0.01,-0.99,0.09
1480273,GAMEROT,0.12,-0.15,-0.98,0.07
1480278,ACCEL,2.57,-2.11,-8.31
1480282,MAGCAL,2.50,11.63,49.56
1480300,GRAV,2.05,-1.75,-9.42
