timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,label
1544426,-1.38,-4.79,8.34,0.2,-0.23,-0.14,17.0,5.75,-23.06,-0.39,0.05,0.0,-1.05,-4.86,8.34,0.6,-0.21,-0.16,0.76,12
1544466,-0.72,-4.83,8.41,0.11,-0.03,-0.02,17.88,6.69,-21.5,-0.33,0.07,-0.01,-1.03,-4.82,8.37,0.6,-0.2,-0.16,0.76,12
1544506,-1.03,-4.68,8.38,0.18,0.07,0.04,17.56,5.5,-22.62,0.31,-0.01,0.05,-1.05,-4.76,8.4,0.6,-0.2,-0.16,0.76,12
1544546,-1.03,-4.64,8.41,0.26,0.0,0.07,17.44,6.44,-23.75,0.02,0.08,-0.02,-1.06,-4.67,8.45,0.6,-0.2,-0.16,0.76,12
1544586,-1.14,-4.6,8.53,0.25,0.05,0.01,16.44,5.5,-23.5,0.03,0.04,-0.03,-1.08,-4.58,8.5,0.6,-0.2,-0.15,0.76,12
1544626,-1.3,-4.41,8.52,0.26,-0.08,-0.08,18.38,5.0,-22.44,-0.07,-0.02,0.03,-1.04,-4.49,8.55,0.6,-0.19,-0.15,0.76,12
1544666,-0.95,-4.41,8.57,0.32,-0.15,-0.09,15.88,4.56,-23.5,-0.26,0.09,-0.02,-0.98,-4.39,8.61,0.6,-0.19,-0.15,0.76,12
1544707,-0.92,-4.33,8.61,0.42,-0.12,-0.06,16.06,4.19,-22.38,0.02,-0.02,-0.04,-0.92,-4.25,8.69,0.61,-0.18,-0.14,0.76,12
1544747,-0.84,-4.14,8.8,0.33,-0.09,-0.01,16.06,4.19,-22.38,0.0,-0.08,-0.08,-0.89,-4.12,8.75,0.61,-0.18,-0.14,0.76,12
1544787,-0.99,-4.02,8.8,0.28,0.0,-0.0,16.69,2.81,-22.94,0.05,-0.02,0.05,-0.88,-4.02,8.8,0.61,-0.17,-0.14,0.76,12
1544827,-1.07,-3.87,8.8,0.33,-0.03,-0.05,16.12,2.81,-23.75,-0.11,0.0,0.0,-0.87,-3.91,8.85,0.61,-0.17,-0.13,0.76,12
1544867,-0.92,-3.79,8.91,0.35,-0.07,-0.07,16.44,2.0,-23.62,-0.2,0.04,-0.05,-0.83,-3.79,8.91,0.61,-0.16,-0.13,0.76,12
1544907,-0.8,-3.76,8.88,0.45,-0.09,-0.03,16.44,2.0,-23.62,-0.09,-0.0,0.0,-0.8,-3.62,8.98,0.62,-0.16,-0.12,0.76,12
1544947,-1.07,-3.45,9.06,0.52,0.06,-0.03,16.44,1.38,-23.25,-0.0,-0.13,-0.1,-0.81,-3.45,9.05,0.62,-0.15,-0.11,0.76,12
1544987,-1.38,-3.22,9.26,0.33,0.03,-0.12,15.94,0.75,-23.31,-0.26,-0.0,0.02,-0.8,-3.33,9.09,0.62,-0.14,-0.11,0.76,12
1545027,-0.72,-3.3,9.29,0.03,-0.17,-0.11,16.62,-0.06,-23.94,-0.57,0.11,0.17,-0.75,-3.32,9.09,0.62,-0.14,-0.11,0.76,12
1545067,-0.3,-3.45,9.26,-0.18,0.75,-0.09,16.5,-0.31,-24.62,0.03,0.02,0.2,-0.93,-3.38,9.05,0.62,-0.14,-0.11,0.76,12
1545107,-0.72,-3.3,8.99,-0.08,0.26,0.02,16.44,0.75,-22.88,0.62,-0.07,0.2,-1.04,-3.41,9.03,0.62,-0.15,-0.1,0.76,12
1545147,-1.14,-3.37,9.06,0.04,0.21,0.05,17.44,1.25,-25.31,0.32,0.12,-0.04,-1.11,-3.41,9.03,0.62,-0.16,-0.1,0.76,12
1545187,-1.45,-3.3,9.02,0.04,0.13,0.03,17.12,1.5,-24.62,-0.04,0.04,0.04,-1.16,-3.39,9.03,0.62,-0.16,-0.1,0.76,12
1545227,-1.14,-3.34,9.03,0.03,0.06,0.06,17.81,-0.19,-24.44,-0.3,0.09,-0.0,-1.19,-3.37,9.03,0.62,-0.16,-0.1,0.76,12
1545268,-1.41,-3.22,9.1,0.0,0.2,0.07,16.31,-0.38,-22.88,0.04,0.03,-0.0,-1.26,-3.37,9.02,0.62,-0.16,-0.09,0.76,12
1545307,-1.41,-3.26,8.99,-0.01,0.03,0.04,18.56,0.62,-23.31,-0.16,0.15,0.08,-1.28,-3.37,9.02,0.62,-0.16,-0.09,0.76,12
