timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,label
762680,-9.29,-0.64,3.40,-0.02,0.01,-0.00,63.38,11.12,19.50,-0.02,-0.00,-0.03,-9.27,-0.64,3.43,0.77,0.16,0.55,-0.28,12
762720,-9.28,-0.61,3.40,-0.01,-0.00,-0.00,61.81,10.50,18.25,0.02,-0.00,0.01,-9.27,-0.64,3.43,0.77,0.16,0.55,-0.28,12
762760,-9.25,-0.64,3.40,0.00,-0.00,-0.00,63.12,11.19,17.94,0.02,0.00,-0.03,-9.27,-0.65,3.43,0.77,0.16,0.55,-0.28,12
762800,-9.24,-0.64,3.44,-0.01,-0.00,-0.01,62.88,11.12,18.69,0.02,-0.00,0.02,-9.26,-0.64,3.42,0.77,0.16,0.55,-0.28,12
762840,-9.29,-0.64,3.40,-0.01,0.01,-0.00,62.62,10.75,20.06,-0.02,0.00,-0.02,-9.26,-0.65,3.42,0.77,0.16,0.55,-0.28,12
762880,-9.24,-0.64,3.44,-0.00,0.00,-0.00,63.62,11.19,18.00,-0.02,0.00,-0.01,-9.27,-0.65,3.41,0.77,0.16,0.55,-0.28,12
762920,-9.24,-0.68,3.48,-0.00,0.01,0.00,63.62,11.19,18.00,0.02,-0.04,0.07,-9.27,-0.65,3.41,0.77,0.16,0.55,-0.28,12
762960,-9.29,-0.64,3.40,-0.01,0.00,-0.00,64.31,11.81,19.19,-0.02,0.00,-0.02,-9.26,-0.65,3.42,0.77,0.16,0.55,-0.28,12
763000,-9.29,-0.64,3.37,-0.01,0.01,0.00,62.88,9.94,19.50,-0.02,0.00,-0.05,-9.26,-0.65,3.41,0.77,0.16,0.55,-0.28,12
763041,-9.28,-0.64,3.44,-0.00,0.01,0.00,63.75,11.50,18.44,0.02,-0.03,-0.01,-9.27,-0.66,3.41,0.77,0.16,0.55,-0.28,12
763081,-9.29,-0.64,3.40,-0.01,-0.03,-0.01,63.19,11.44,17.94,-0.02,0.01,-0.01,-9.27,-0.66,3.41,0.77,0.16,0.55,-0.28,12
763121,-9.28,-0.61,3.37,-0.18,-0.08,-0.07,63.12,10.56,18.38,-0.02,0.07,-0.06,-9.26,-0.67,3.43,0.77,0.15,0.55,-0.28,12
763161,-9.28,-0.76,3.48,-0.04,-0.06,-0.03,63.06,11.06,19.75,-0.03,-0.06,0.04,-9.25,-0.70,3.45,0.77,0.15,0.55,-0.28,12
763202,-9.28,-0.68,3.48,-0.06,-0.03,-0.01,64.75,11.88,18.88,0.00,0.06,-0.02,-9.24,-0.70,3.46,0.77,0.15,0.55,-0.28,12
763241,-9.25,-0.76,3.52,0.02,-0.01,0.00,64.31,11.50,19.19,-0.04,0.02,0.01,-9.24,-0.70,3.47,0.77,0.15,0.55,-0.28,12
763281,-9.21,-0.72,3.52,0.05,-0.01,0.01,60.00,11.25,17.19,0.05,-0.02,0.04,-9.25,-0.70,3.48,0.77,0.15,0.55,-0.28,12
763321,-9.25,-0.72,3.52,0.02,-0.01,0.00,64.31,12.31,21.38,0.01,-0.02,0.04,-9.25,-0.70,3.48,0.77,0.15,0.55,-0.28,12
763362,-9.24,-0.68,3.44,0.00,-0.00,-0.01,62.81,11.75,17.88,0.00,0.05,-0.04,-9.24,-0.70,3.48,0.77,0.15,0.55,-0.28,12
