timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,label
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,12
694986,-1.81,3.30,8.15,-0.36,-0.10,-0.51,29.12,-8.56,-11.62,0.85,0.25,-0.63,-2.66,3.05,8.78,0.98,0.16,0.15,0.02,12
695024,-3.23,2.34,10.34,-0.15,0.22,-0.05,27.81,-8.69,-11.75,-0.54,-0.56,1.52,-2.69,2.91,8.82,0.98,0.15,0.16,0.01,12
695064,-3.23,2.42,9.42,0.26,-0.01,0.32,28.81,-7.00,-9.56,-0.49,-0.51,0.61,-2.73,2.93,8.80,0.98,0.15,0.16,0.01,12
695104,-3.19,2.88,9.57,0.37,-0.58,0.40,29.19,-6.94,-9.50,-0.66,-0.20,0.75,-2.52,3.08,8.82,0.98,0.16,0.15,0.02,12
695146,-1.35,3.15,8.46,-0.26,-0.40,0.10,27.94,-7.50,-11.81,0.91,0.02,-0.41,-2.26,3.12,8.88,0.98,0.16,0.14,0.02,12
695184,-1.04,2.96,8.73,-0.28,0.30,-0.12,26.44,-8.19,-11.94,1.22,-0.04,-0.19,-2.27,3.00,8.91,0.98,0.15,0.14,0.02,12
695224,-1.73,2.65,9.69,0.04,0.46,-0.14,27.44,-7.25,-12.25,0.69,-0.31,0.80,-2.42,2.96,8.89,0.98,0.15,0.14,0.02,12
695264,-2.08,2.84,9.27,-0.26,0.43,-0.30,27.94,-7.81,-11.44,0.51,-0.06,0.41,-2.59,2.91,8.86,0.98,0.15,0.15,0.02,12
695306,-2.69,2.80,9.15,0.05,-0.04,0.11,26.56,-7.31,-12.00,-0.00,0.02,0.27,-2.69,2.78,8.88,0.98,0.14,0.16,0.02,12
695346,-2.27,2.65,9.30,0.14,-0.32,0.05,28.56,-6.62,-11.44,0.31,-0.18,0.41,-2.58,2.84,8.89,0.98,0.15,0.15,0.02,12
695384,-2.19,2.65,9.46,0.30,-0.17,0.09,28.56,-6.94,-11.00,0.29,-0.26,0.56,-2.48,2.91,8.90,0.98,0.15,0.15,0.02,12
695424,-2.08,2.80,9.07,0.24,-0.07,0.09,28.88,-7.75,-10.94,0.34,-0.23,0.21,-2.42,3.03,8.87,0.98,0.16,0.14,0.02,12
695464,-1.93,3.11,8.73,0.16,-0.12,0.09,28.75,-8.38,-11.31,0.45,0.01,-0.14,-2.38,3.10,8.87,0.98,0.16,0.14,0.02,12
695507,-1.81,3.15,8.81,0.06,-0.07,0.04,28.75,-8.38,-11.31,0.51,0.00,-0.06,-2.32,3.15,8.87,0.98,0.16,0.14,0.02,12
695544,-1.81,3.07,9.07,0.06,-0.02,0.01,27.62,-7.25,-11.12,0.48,-0.09,0.20,-2.29,3.16,8.88,0.98,0.16,0.14,0.02,12
695584,-1.93,3.07,9.03,0.05,-0.01,0.01,27.88,-9.00,-11.00,0.35,-0.11,0.17,-2.27,3.18,8.87,0.98,0.16,0.14,0.02,12
695625,-2.00,3.11,9.04,0.05,-0.04,0.00,28.25,-8.94,-11.38,0.26,-0.09,0.17,-2.26,3.20,8.87,0.98,0.17,0.13,0.02,12
695668,-1.93,3.15,8.92,0.05,-0.03,-0.00,28.44,-7.19,-11.75,0.31,-0.05,0.04,-2.23,3.20,8.88,0.98,0.17,0.13,0.02,12
695705,-1.96,3.11,8.99,0.08,0.04,0.05,28.69,-8.06,-12.06,0.26,-0.12,0.13,-2.23,3.23,8.87,0.98,0.17,0.13,0.02,12
695745,-2.00,3.11,9.04,0.16,-0.02,0.10,26.56,-7.94,-11.62,0.22,-0.16,0.18,-2.22,3.27,8.86,0.98,0.17,0.13,0.02,12
695785,-2.38,3.19,9.23,0.29,-0.23,0.24,26.44,-8.56,-11.62,-0.27,-0.19,0.38,-2.11,3.38,8.84,0.98,0.18,0.13,0.03,12
695828,-1.39,3.57,8.19,0.04,-0.04,0.07,26.12,-8.19,-13.81,0.64,0.12,-0.64,-2.03,3.45,8.84,0.98,0.18,0.12,0.03,12
695865,-1.66,3.42,8.80,0.02,0.14,0.06,26.00,-8.25,-12.38,0.39,-0.02,-0.03,-2.05,3.44,8.84,0.98,0.18,0.12,0.03,12
695905,-1.81,3.30,9.15,-0.00,0.13,0.07,27.12,-9.12,-10.06,0.27,-0.15,0.33,-2.08,3.45,8.82,0.98,0.18,0.13,0.03,12
695945,-1.81,3.45,8.77,-0.02,0.09,0.05,26.62,-9.31,-12.62,0.29,0.00,-0.06,-2.10,3.45,8.83,0.97,0.18,0.13,0.03,12
695987,-1.96,3.34,9.04,-0.05,0.05,0.09,27.81,-8.69,-11.75,0.14,-0.11,0.21,-2.10,3.45,8.82,0.97,0.18,0.13,0.03,12
