timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,label
1070229,-2.86,3.46,8.36,0.01,-0.01,0.0,27.75,-3.31,-15.94,-0.09,0.19,0.27,-2.84,3.47,8.51,0.85,0.24,0.04,-0.47,12
1070269,-2.78,3.61,8.47,0.06,0.02,0.01,26.19,-5.12,-16.06,-0.02,-0.01,-0.15,-2.85,3.49,8.5,0.85,0.24,0.04,-0.47,12
1070309,-2.86,3.61,8.59,0.08,0.04,-0.02,27.75,-3.56,-15.94,0.07,0.12,-0.03,-2.87,3.52,8.48,0.85,0.24,0.04,-0.47,12
1070349,-2.93,3.5,8.47,0.12,0.12,-0.03,26.94,-5.19,-14.12,0.01,0.09,0.11,-2.91,3.55,8.45,0.85,0.24,0.04,-0.47,12
1070389,-3.01,3.46,8.51,0.27,0.24,0.04,27.5,-5.38,-15.88,-0.02,-0.05,0.02,-2.98,3.65,8.38,0.85,0.24,0.04,-0.47,12
1070429,-3.2,3.72,9.27,0.52,0.6,0.05,26.75,-4.5,-15.62,-0.03,-0.19,0.13,-3.2,3.83,8.23,0.84,0.25,0.05,-0.47,12
1070473,-4.93,4.49,11.46,0.26,2.3,0.06,33.25,-4.69,-14.06,0.0,-0.11,1.05,-3.88,3.95,7.87,0.84,0.28,0.06,-0.46,12
1070509,-3.93,4.72,12.0,0.03,3.08,0.36,40.81,-2.19,-10.69,-1.05,0.54,3.59,-4.77,4.08,7.3,0.84,0.3,0.11,-0.44,12
1070552,-3.82,2.96,7.29,0.36,3.41,0.37,47.56,-2.69,-6.94,0.84,0.64,4.7,-5.59,4.29,6.58,0.83,0.34,0.16,-0.41,12
1070589,-4.39,4.38,3.0,0.09,1.64,1.11,50.44,-4.0,-4.69,1.78,-1.33,0.71,-5.89,4.55,6.13,0.83,0.37,0.19,-0.38,12
1070629,-5.04,4.72,5.41,0.08,0.92,0.48,52.62,-3.31,-2.94,1.5,-0.18,-3.14,-6.05,4.67,5.89,0.83,0.38,0.21,-0.36,12
1070672,-4.93,5.52,5.71,0.12,1.24,-0.02,52.44,-4.75,-2.88,1.0,0.05,-0.48,-6.28,4.69,5.63,0.82,0.39,0.22,-0.35,12
1070709,-6.19,5.52,1.81,-1.62,0.6,-0.13,53.0,-2.81,-1.12,1.36,0.84,0.08,-6.47,4.3,5.73,0.82,0.39,0.24,-0.34,12
1070750,-7.68,3.65,5.22,-1.41,0.23,-0.38,53.19,-2.12,-2.56,0.28,1.23,-3.92,-6.55,3.9,5.9,0.83,0.36,0.27,-0.33,12
1070790,-6.27,3.61,6.18,-0.24,-0.65,0.26,54.06,-1.75,-3.25,-1.13,-0.25,-0.68,-6.37,3.86,6.12,0.84,0.34,0.27,-0.33,12
1070830,-5.27,4.61,5.18,-0.42,-0.65,-0.36,52.94,-1.0,-2.69,0.1,-0.25,0.05,-6.27,3.7,6.32,0.84,0.34,0.26,-0.33,12
1070874,-6.15,3.8,7.36,-0.44,-0.4,-0.46,53.0,-0.06,-3.06,1.0,0.91,-1.14,-6.23,3.45,6.49,0.85,0.32,0.25,-0.34,12
1070910,-6.3,3.27,5.52,-0.45,-0.5,-0.37,50.56,-0.56,-3.75,0.07,0.35,0.87,-6.13,3.24,6.69,0.85,0.31,0.25,-0.35,12
1070950,-6.15,3.04,6.21,-0.23,-0.57,-0.36,50.19,0.94,-4.62,-0.17,0.02,-1.16,-6.01,3.09,6.86,0.85,0.3,0.25,-0.36,12
1070990,-6.11,3.11,6.9,-0.26,-0.82,-0.39,48.25,0.5,-4.81,-0.14,-0.05,-0.64,-5.84,2.94,7.07,0.85,0.29,0.24,-0.37,12
1071030,-5.73,2.92,7.4,-0.24,-0.62,-0.26,47.81,0.44,-4.88,-0.27,0.18,-0.17,-5.7,2.8,7.22,0.86,0.27,0.23,-0.38,12
1071071,-5.62,2.73,7.44,-0.34,-0.25,-0.39,46.0,1.25,-5.81,-0.03,0.12,0.18,-5.67,2.64,7.3,0.86,0.27,0.23,-0.38,12
1071110,-6.04,2.34,7.63,-0.0,-0.18,-0.4,47.94,1.38,-4.88,0.05,0.09,0.14,-5.66,2.55,7.35,0.85,0.26,0.23,-0.39,12
1071150,-6.42,2.12,8.75,0.4,-0.2,-0.09,45.62,1.81,-5.56,-0.37,-0.21,0.28,-5.6,2.69,7.34,0.85,0.26,0.22,-0.39,12
1071194,-6.5,2.12,10.01,1.91,-0.84,0.49,46.0,-1.38,-6.44,-0.82,-0.57,1.4,-5.35,3.33,7.27,0.85,0.28,0.21,-0.4,12
1071231,-3.55,4.57,7.52,2.69,0.0,0.22,42.94,-3.88,-7.0,-1.14,-1.21,2.74,-5.3,4.1,6.91,0.84,0.31,0.18,-0.4,12
1071275,-2.32,5.49,4.91,1.59,1.22,-1.29,43.38,-6.62,-5.06,1.76,0.46,0.61,-5.79,4.26,6.41,0.82,0.35,0.17,-0.41,12
1071310,-4.7,4.95,3.46,0.49,0.94,-2.18,44.38,-4.56,-3.56,3.47,1.23,-1.5,-6.41,3.87,6.07,0.79,0.37,0.19,-0.44,12
1071354,-6.38,3.95,5.37,-0.1,0.98,-2.17,45.94,-2.38,-3.5,1.71,1.08,-2.61,-6.93,3.3,5.82,0.77,0.38,0.22,-0.47,12
1071392,-9.06,1.46,4.72,-0.09,1.33,-2.15,49.0,-1.94,-1.25,0.55,0.66,-0.45,-7.42,2.7,5.5,0.74,0.38,0.26,-0.49,12
1071430,-9.98,0.39,4.45,0.18,0.28,-0.67,46.0,0.19,-2.19,-1.64,-1.24,-0.78,-7.56,2.52,5.4,0.72,0.38,0.28,-0.51,12
1071470,-9.37,1.16,4.03,-0.02,0.06,0.12,49.75,-0.75,-0.5,-2.42,-2.12,-0.95,-7.56,2.55,5.38,0.72,0.38,0.28,-0.51,12
1071510,-7.84,2.54,4.11,-0.29,-0.48,0.35,48.19,-0.5,-1.88,-1.81,-1.39,-1.35,-7.44,2.59,5.54,0.73,0.38,0.28,-0.51,12
1071551,-7.0,3.11,5.14,-0.17,-0.72,-0.06,47.94,-1.06,-2.94,-0.4,-0.05,-1.43,-7.27,2.53,5.77,0.73,0.37,0.27,-0.51,12
1071590,-8.87,1.77,3.49,-0.82,-1.16,0.1,44.62,-0.06,-5.25,0.28,0.58,-0.63,-6.94,2.38,6.23,0.74,0.35,0.26,-0.51,12
1071634,-9.91,0.36,0.62,-3.02,-3.04,1.74,39.81,0.5,-7.62,-1.93,-0.61,-2.73,-5.99,2.07,7.23,0.77,0.31,0.24,-0.51,12
1071671,-6.91,-2.25,5.71,-0.8,-3.46,2.74,33.81,-1.69,-15.62,-3.91,-1.71,-6.61,-4.66,2.3,8.09,0.82,0.24,0.2,-0.48,12
1071716,-3.89,-0.22,7.82,-2.57,-3.44,3.94,27.5,-1.75,-18.56,-2.26,-4.55,-2.38,-3.17,2.13,8.81,0.87,0.2,0.13,-0.43,12
1071751,-0.79,0.51,17.48,-1.54,-1.7,5.18,25.56,-1.56,-19.94,-0.72,-2.36,-0.99,-2.16,2.05,9.12,0.92,0.15,0.09,-0.35,12
1071794,-0.21,1.27,13.76,-0.3,0.69,4.84,28.62,-2.0,-17.0,1.37,-1.55,8.36,-1.92,2.29,9.12,0.95,0.14,0.07,-0.26,12
1071832,-0.9,0.85,7.66,-0.77,0.6,4.7,29.38,-3.75,-16.38,1.71,-1.02,4.64,-1.7,2.32,9.16,0.98,0.14,0.07,-0.16,12
1071876,0.48,2.19,10.16,-1.33,0.14,2.36,30.31,-3.69,-16.31,0.79,-1.47,-1.49,-1.52,2.04,9.25,0.99,0.12,0.07,-0.09,12
1071912,1.36,1.66,11.2,-0.13,-0.59,1.67,28.5,-4.38,-16.12,1.99,0.15,0.91,-1.21,2.05,9.3,0.99,0.11,0.06,-0.05,12
1071952,2.5,2.19,9.7,0.42,0.16,0.38,28.69,-5.0,-14.62,2.57,-0.4,1.9,-1.24,2.23,9.25,0.99,0.11,0.06,-0.03,12
1071992,1.55,2.57,10.12,1.1,0.47,-1.05,27.19,-5.94,-17.31,3.75,-0.04,0.45,-1.48,2.57,9.12,0.99,0.13,0.07,-0.03,12
1072032,1.01,2.92,9.47,1.35,-0.47,-2.71,27.12,-6.5,-17.31,3.03,0.0,1.0,-1.62,2.9,9.01,0.98,0.15,0.07,-0.07,12
1072072,-0.45,2.27,9.09,1.43,-0.6,-4.05,25.19,-8.25,-20.0,2.64,0.02,0.46,-1.9,3.13,8.88,0.97,0.17,0.07,-0.14,12
1072115,-1.59,2.34,8.02,1.05,-0.32,-4.0,25.94,-6.5,-18.94,1.45,-0.86,0.21,-2.27,3.18,8.77,0.95,0.19,0.07,-0.23,12
1072152,-3.2,1.96,7.74,0.23,-0.13,-3.43,26.06,-5.31,-18.94,0.68,-0.84,-0.76,-2.63,2.95,8.75,0.93,0.19,0.07,-0.3,12
1072192,-5.35,1.58,8.86,-0.04,-0.18,-1.87,24.75,-4.25,-19.88,-0.57,-0.98,-1.0,-2.73,2.72,8.79,0.91,0.19,0.08,-0.35,12
1072232,-4.96,1.54,8.4,-0.23,-0.38,-0.82,24.0,-3.12,-20.0,-2.61,-1.14,0.07,-2.69,2.54,8.87,0.91,0.18,0.08,-0.37,12
1072272,-3.39,2.27,9.13,-0.22,-0.38,0.15,23.69,-2.31,-19.75,-2.28,-1.0,-0.47,-2.55,2.46,8.93,0.91,0.17,0.08,-0.38,12
1072312,-1.67,2.84,9.13,-0.42,-0.28,-0.3,22.06,-2.38,-21.38,-0.84,-0.19,0.2,-2.5,2.27,8.98,0.91,0.17,0.07,-0.38,12
1072352,-1.79,2.73,8.36,-1.42,-0.02,-0.75,24.25,-1.06,-19.75,0.83,0.58,0.14,-2.52,1.65,9.11,0.9,0.15,0.08,-0.39,12
1072392,-4.66,0.55,9.01,-4.36,-0.24,-1.6,24.25,-1.06,-19.75,0.74,1.08,-0.75,-2.44,0.02,9.28,0.9,0.1,0.1,-0.4,12
1072432,-2.7,-2.1,10.96,-2.84,-0.63,0.68,27.44,8.19,-13.25,-2.22,0.53,-0.27,-2.24,-1.09,9.27,0.91,0.02,0.13,-0.4,12
1072472,-0.87,-1.71,10.93,-0.72,0.14,-0.09,27.62,10.94,-14.12,-0.46,-1.0,1.7,-2.23,-1.41,9.22,0.91,-0.02,0.14,-0.4,12
1072512,-2.13,-1.79,9.89,-0.05,0.1,0.01,27.38,10.0,-14.88,1.37,-0.31,1.71,-2.29,-1.41,9.21,0.91,-0.02,0.14,-0.4,12
1072552,-2.36,-1.56,9.28,0.09,-0.27,0.05,27.38,10.0,-14.88,0.16,-0.39,0.68,-2.23,-1.37,9.23,0.91,-0.02,0.14,-0.4,12
1072592,-2.02,-1.45,9.31,0.12,-0.02,0.08,26.0,11.25,-13.62,-0.13,-0.2,0.04,-2.21,-1.32,9.25,0.91,-0.02,0.14,-0.4,12
