timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,label
1473662,-0.85,-4.38,8.36,-0.13,0.07,0.0,0.56,-4.0,-35.19,0.27,0.19,-0.14,-1.12,-4.57,8.51,0.61,-0.2,-0.15,0.75,12
1473702,-1.05,-4.49,8.56,-0.05,0.08,0.0,0.31,-4.75,-33.31,0.11,0.12,0.07,-1.16,-4.61,8.48,0.61,-0.2,-0.15,0.75,12
1473742,-1.46,-4.88,8.55,0.01,-0.04,0.03,-2.94,-3.44,-35.62,-0.3,-0.27,0.08,-1.16,-4.61,8.48,0.61,-0.2,-0.15,0.75,12
1473782,-1.2,-4.8,8.48,0.33,-0.07,0.12,-2.38,-3.12,-34.5,-0.08,-0.17,0.03,-1.16,-4.59,8.48,0.61,-0.2,-0.15,0.75,12
1473822,-1.39,-5.14,9.09,0.97,-0.32,0.09,-0.19,-4.12,-34.5,-0.27,-0.79,0.48,-1.12,-4.36,8.61,0.61,-0.19,-0.14,0.75,12
1473862,-1.24,-4.41,8.82,1.04,-0.41,0.12,-1.94,-4.88,-33.62,-0.22,-0.4,0.02,-1.02,-4.02,8.8,0.61,-0.17,-0.13,0.76,12
1473902,-0.85,-4.11,8.86,0.73,-0.19,0.05,-1.56,-6.38,-32.75,0.05,-0.45,-0.11,-0.91,-3.66,8.97,0.61,-0.15,-0.12,0.77,12
1473942,-1.01,-3.61,9.2,1.09,-0.34,0.05,-1.19,-8.12,-31.94,0.21,0.21,-0.52,-0.84,-3.4,9.07,0.62,-0.14,-0.11,0.77,12
1473982,-0.97,-3.23,9.21,0.88,-0.43,0.05,-0.31,-9.19,-31.31,-0.27,-0.23,-0.02,-0.7,-2.99,9.23,0.62,-0.12,-0.1,0.77,12
1474022,-0.55,-2.04,8.52,0.07,-0.01,0.0,-1.69,-10.88,-30.38,0.02,0.7,-0.8,-0.57,-2.74,9.31,0.62,-0.11,-0.09,0.77,12
1474062,-0.32,-1.93,8.66,-0.71,0.26,-0.01,-2.06,-10.94,-29.69,0.29,0.87,-0.62,-0.6,-2.8,9.29,0.62,-0.12,-0.1,0.77,12
1474102,-0.39,-2.69,8.94,-1.25,0.49,-0.11,-2.5,-9.75,-30.5,0.17,0.62,-0.13,-0.72,-3.12,9.18,0.62,-0.14,-0.11,0.77,12
1474142,-0.59,-2.8,8.44,-1.34,0.52,-0.05,-2.44,-9.06,-33.44,0.3,0.78,-0.55,-0.89,-3.59,8.98,0.62,-0.16,-0.12,0.76,12
1474182,-1.2,-3.77,8.71,-0.7,-0.01,0.2,-2.12,-6.69,-33.19,-0.16,0.29,-0.07,-1.04,-4.05,8.77,0.61,-0.18,-0.13,0.76,12
1474222,-2.08,-5.3,9.47,-0.2,-0.15,0.1,-2.88,-4.25,-36.69,-1.03,-1.05,0.79,-1.05,-4.24,8.68,0.61,-0.18,-0.14,0.76,12
1474262,-0.59,-4.19,8.48,-0.08,0.05,0.07,-3.81,-4.62,-37.12,0.13,-0.82,0.67,-1.02,-4.29,8.65,0.61,-0.18,-0.14,0.76,12
