timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,label
1043283,-0.87,-0.8,9.58,-0.11,-0.03,0.01,31.75,14.62,-18.56,-0.19,0.01,-0.01,-0.68,-0.8,9.59,0.93,-0.03,0.05,-0.35,12
1043323,-0.64,-0.76,9.66,-0.04,-0.01,-0.0,31.94,15.44,-18.19,0.04,0.09,0.07,-0.67,-0.84,9.59,0.93,-0.03,0.05,-0.35,12
1043364,-0.67,-0.88,9.54,-0.07,-0.03,0.02,32.12,15.06,-16.69,-0.04,-0.02,0.11,-0.67,-0.85,9.59,0.93,-0.03,0.05,-0.35,12
1043403,-0.64,-0.88,9.66,-0.04,-0.0,0.0,29.69,14.38,-17.31,-0.01,0.0,-0.05,-0.66,-0.88,9.59,0.93,-0.03,0.05,-0.35,12
1043443,-0.64,-0.91,9.74,-0.04,-0.03,0.0,30.44,14.5,-18.69,0.02,-0.02,0.15,-0.66,-0.89,9.59,0.93,-0.03,0.05,-0.35,12
1043483,-0.75,-0.91,9.58,-0.06,-0.04,-0.01,31.44,14.5,-17.5,-0.1,0.0,-0.0,-0.65,-0.91,9.59,0.93,-0.03,0.05,-0.35,12
1043525,-0.52,-0.91,9.86,-0.05,-0.05,-0.0,29.75,15.25,-17.75,-0.12,0.06,-0.12,-0.62,-0.94,9.59,0.93,-0.03,0.05,-0.35,12
1043563,-0.67,-1.03,9.66,-0.1,0.04,-0.01,31.75,13.69,-17.75,0.09,0.05,0.27,-0.61,-0.96,9.59,0.93,-0.04,0.05,-0.35,12
1043604,-0.67,-1.03,9.35,-0.05,-0.0,-0.04,30.62,15.0,-17.62,-0.05,-0.04,-0.23,-0.62,-0.99,9.59,0.93,-0.04,0.05,-0.35,12
1043644,-0.52,-0.88,9.73,0.01,0.09,-0.04,31.25,14.56,-18.56,0.16,0.0,0.1,-0.68,-0.88,9.63,0.93,-0.04,0.05,-0.35,12
