timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,label
1535458,-3.63,-3.45,8.33,0.04,-0.23,-0.12,33.69,2.94,-14.25,-0.18,-0.01,-0.04,-3.4,-3.44,8.41,0.66,-0.26,-0.01,0.71,12
1535498,-3.44,-3.45,8.41,0.04,-0.18,-0.11,33.0,3.88,-16.25,-0.23,-0.01,-0.07,-3.31,-3.44,8.44,0.66,-0.25,-0.01,0.71,12
1535539,-3.17,-3.49,8.48,0.03,-0.21,-0.08,30.81,3.38,-15.81,-0.12,-0.01,-0.03,-3.24,-3.44,8.47,0.66,-0.25,-0.02,0.71,12
1535578,-3.05,-3.45,8.52,0.04,-0.06,-0.05,31.88,4.62,-15.69,0.07,-0.05,0.02,-3.2,-3.44,8.48,0.66,-0.25,-0.02,0.71,12
1535618,-2.98,-3.45,8.56,0.03,0.0,0.04,32.38,4.69,-15.69,0.14,-0.01,0.04,-3.19,-3.42,8.49,0.66,-0.25,-0.02,0.71,12
1535658,-2.75,-3.49,8.61,0.03,0.2,0.12,32.12,4.12,-16.69,0.21,-0.03,0.07,-3.23,-3.4,8.48,0.66,-0.25,-0.02,0.71,12
1535699,-3.25,-3.41,8.52,0.02,-0.03,0.02,31.75,4.69,-16.75,0.49,-0.09,0.12,-3.28,-3.39,8.47,0.66,-0.25,-0.01,0.71,12
1535739,-3.09,-3.45,8.49,0.03,0.03,0.05,32.69,3.5,-15.19,0.04,-0.02,0.05,-3.27,-3.38,8.48,0.66,-0.25,-0.01,0.71,12
1535779,-3.09,-3.41,8.63,0.01,0.1,0.06,33.06,2.94,-15.06,0.18,-0.07,0.01,-3.31,-3.35,8.47,0.66,-0.25,-0.01,0.71,12
1535819,-3.44,-3.3,8.53,0.03,0.0,0.01,33.62,4.5,-15.81,0.22,-0.06,0.17,-3.34,-3.34,8.46,0.66,-0.25,-0.01,0.71,12
1535859,-3.4,-3.38,8.37,0.03,0.01,0.01,32.62,3.81,-15.94,-0.1,0.05,0.06,-3.33,-3.34,8.47,0.66,-0.25,-0.01,0.71,12
1535899,-3.36,-3.34,8.53,0.02,-0.01,-0.01,33.0,3.56,-16.19,-0.07,-0.04,-0.1,-3.34,-3.33,8.47,0.66,-0.25,-0.01,0.71,12
1535939,-3.36,-3.3,8.48,0.03,-0.03,-0.02,31.69,3.12,-15.69,-0.02,-0.01,0.05,-3.33,-3.33,8.48,0.66,-0.25,-0.01,0.71,12
1535979,-3.32,-3.38,8.41,0.05,-0.06,-0.04,33.31,4.75,-15.12,-0.03,0.03,0.01,-3.31,-3.32,8.48,0.66,-0.25,-0.01,0.71,12
1536019,-3.55,-3.3,8.48,0.07,-0.22,-0.12,31.88,3.38,-14.94,-0.01,-0.05,-0.07,-3.25,-3.31,8.52,0.66,-0.25,-0.01,0.71,12
1536059,-3.59,-3.34,8.37,-0.13,-0.25,-0.52,33.12,3.19,-15.06,-0.3,0.02,-0.03,-3.14,-3.34,8.55,0.67,-0.24,-0.01,0.71,12
1536099,-5.96,-2.84,7.49,0.39,-2.06,-1.23,31.38,4.62,-16.12,-0.45,0.0,-0.18,-2.66,-3.43,8.67,0.68,-0.23,-0.03,0.7,12
1536139,-3.74,-1.27,5.95,-0.15,-2.04,0.08,28.81,4.94,-15.75,-3.3,0.59,-1.18,-1.71,-3.5,8.88,0.69,-0.19,-0.07,0.7,12
1536179,-2.02,-4.6,10.13,-0.01,-0.02,1.14,24.94,5.62,-18.06,-2.03,2.23,-2.93,-1.49,-3.46,8.94,0.67,-0.18,-0.08,0.71,12
1536219,1.43,-3.99,9.68,-0.06,-0.09,0.05,25.88,6.12,-15.38,-0.53,-1.14,1.2,-1.65,-3.4,8.93,0.66,-0.18,-0.07,0.72,12
1536259,0.24,-4.22,9.98,-0.04,0.12,0.05,25.62,5.31,-16.5,3.08,-0.59,0.74,-1.73,-3.44,8.9,0.66,-0.19,-0.07,0.72,12
1536299,-2.29,-3.38,8.45,-0.05,0.0,0.04,26.31,5.44,-17.88,1.97,-0.78,1.08,-1.79,-3.44,8.89,0.66,-0.19,-0.07,0.72,12
