timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,label
1553480,1.46,-6.78,6.77,0.07,-0.06,-0.1,10.19,17.06,-22.31,-0.18,0.04,0.05,1.64,-6.82,6.72,0.66,-0.21,-0.33,0.64,12
1553522,1.65,-6.82,6.77,0.07,-0.07,-0.1,11.06,17.75,-22.94,0.04,0.14,0.12,1.53,-6.88,6.73,0.66,-0.21,-0.33,0.64,12
1553560,1.69,-6.78,6.8,0.03,-0.04,-0.06,9.44,16.81,-24.19,0.07,0.02,0.02,1.59,-6.84,6.75,0.66,-0.21,-0.33,0.64,12
1553600,1.8,-6.78,6.81,0.0,-0.04,-0.01,9.0,16.19,-23.5,0.07,0.05,0.05,1.62,-6.83,6.76,0.66,-0.2,-0.33,0.64,12
1553640,2.11,-6.78,6.84,0.05,-0.04,0.08,9.31,17.31,-22.81,0.47,0.03,0.07,1.64,-6.81,6.77,0.66,-0.2,-0.33,0.64,12
1553680,1.84,-6.78,6.77,0.03,-0.06,0.03,8.5,15.81,-23.5,0.19,0.03,-0.02,1.66,-6.81,6.78,0.66,-0.2,-0.33,0.64,12
1553719,1.54,-6.75,6.73,0.06,-0.06,0.0,9.06,16.81,-23.88,-0.21,0.09,0.02,1.67,-6.8,6.79,0.66,-0.2,-0.33,0.64,12
1553759,1.92,-6.74,6.77,0.11,0.03,0.04,8.0,16.44,-24.38,-0.15,0.04,-0.08,1.69,-6.78,6.8,0.66,-0.2,-0.33,0.65,12
1553799,1.88,-6.78,6.85,0.09,0.05,0.02,8.38,16.94,-22.5,0.2,-0.02,0.01,1.68,-6.76,6.84,0.66,-0.2,-0.33,0.65,12
1553840,1.46,-6.63,6.84,0.05,-0.03,-0.04,8.38,16.19,-24.69,-0.21,0.11,-0.02,1.66,-6.73,6.86,0.66,-0.2,-0.33,0.65,12
1553880,1.88,-6.63,6.92,0.05,0.01,-0.01,9.06,16.81,-23.88,-0.14,0.12,0.05,1.68,-6.71,6.87,0.66,-0.2,-0.33,0.65,12
1553920,1.8,-6.63,6.95,0.05,0.03,0.01,8.38,16.5,-24.69,0.19,0.07,0.04,1.69,-6.7,6.88,0.66,-0.2,-0.33,0.65,12
1553960,1.57,-6.63,6.91,0.1,-0.02,-0.06,8.69,16.44,-22.81,-0.11,0.06,0.02,1.68,-6.69,6.9,0.66,-0.2,-0.33,0.65,12
1554000,1.61,-6.52,6.91,0.11,-0.04,-0.08,10.0,16.81,-23.06,-0.09,0.14,-0.0,1.7,-6.66,6.92,0.66,-0.2,-0.33,0.65,12
